lat,lon,count,time
30.05,120.0,3,2019-12-16 15:13:41
31.25,120.45,5,2019-12-16 15:13:41
30.25,120.3,28,2019-12-16 15:13:41
31.95,119.05,2,2019-12-16 15:13:41
29.0,121.55,2,2019-12-16 15:13:41
30.25,120.25,5,2019-12-16 15:13:41
31.25,120.9,2,2019-12-16 15:13:41
31.25,120.85,76,2019-12-16 15:13:41
31.7,121.45,2,2019-12-16 15:13:41
29.1,121.1,4,2019-12-16 15:13:41
31.6,121.65,1,2019-12-16 15:13:41
31.05,119.4,3,2019-12-16 15:13:41
28.85,119.05,1,2019-12-16 15:13:41
28.75,118.45,1,2019-12-16 15:13:41
29.85,121.6,70,2019-12-16 15:13:41
31.2,120.55,30,2019-12-16 15:13:41
31.2,120.6,9,2019-12-16 15:13:41
29.05,119.4,1,2019-12-16 15:13:41
31.85,121.1,4,2019-12-16 15:13:41
30.6,118.6,1,2019-12-16 15:13:41
31.95,117.15,4,2019-12-16 15:13:41
29.05,119.35,1,2019-12-16 15:13:41
28.6,118.0,2,2019-12-16 15:13:41
27.2,119.7,2,2019-12-16 15:13:41
30.65,121.15,2,2019-12-16 15:13:41
31.0,121.7,19,2019-12-16 15:13:41
31.8,120.65,5,2019-12-16 15:13:41
29.2,117.85,2,2019-12-16 15:13:41
31.75,118.5,3,2019-12-16 15:13:41
29.75,119.65,6,2019-12-16 15:13:41
31.65,121.45,1,2019-12-16 15:13:41
31.95,117.5,2,2019-12-16 15:13:41
30.85,121.8,2,2019-12-16 15:13:41
30.7,120.25,3,2019-12-16 15:13:41
29.6,119.0,60,2019-12-16 15:13:41
30.15,120.9,4,2019-12-16 15:13:41
31.15,121.2,3,2019-12-16 15:13:41
31.15,121.55,19,2019-12-16 15:13:41
26.05,119.25,47,2019-12-16 15:13:41
30.25,119.55,9,2019-12-16 15:13:41
30.55,120.2,3,2019-12-16 15:13:41
28.9,119.95,23,2019-12-16 15:13:41
29.5,120.05,2,2019-12-16 15:13:41
30.15,121.3,1,2019-12-16 15:13:41
31.3,121.8,2,2019-12-16 15:13:41
31.3,121.4,89,2019-12-16 15:13:41
31.3,121.35,22,2019-12-16 15:13:41
31.9,119.5,2,2019-12-16 15:13:41
31.35,119.15,2,2019-12-16 15:13:41
29.95,121.5,11,2019-12-16 15:13:41
31.6,120.4,9,2019-12-16 15:13:41
31.6,120.35,15,2019-12-16 15:13:41
31.85,117.4,13,2019-12-16 15:13:41
31.85,120.3,1,2019-12-16 15:13:41
31.85,120.25,3,2019-12-16 15:13:41
28.6,121.35,5,2019-12-16 15:13:41
31.05,119.85,1,2019-12-16 15:13:41
29.7,121.85,5,2019-12-16 15:13:41
31.2,118.4,1,2019-12-16 15:13:41
28.75,120.05,5,2019-12-16 15:13:41
31.3,117.85,11,2019-12-16 15:13:41
28.0,120.8,10,2019-12-16 15:13:41
30.45,120.15,15,2019-12-16 15:13:41
31.3,119.3,1,2019-12-16 15:13:41
31.7,120.3,3,2019-12-16 15:13:41
29.95,121.6,15,2019-12-16 15:13:41
31.5,121.0,6,2019-12-16 15:13:41
29.15,120.0,2,2019-12-16 15:13:41
28.55,121.25,1,2019-12-16 15:13:41
30.3,117.5,2,2019-12-16 15:13:41
31.75,121.65,12,2019-12-16 15:13:41
28.05,120.5,12,2019-12-16 15:13:41
30.4,120.95,2,2019-12-16 15:13:41
30.0,122.0,2,2019-12-16 15:13:41
31.7,120.95,1,2019-12-16 15:13:41
30.85,117.75,5,2019-12-16 15:13:41
29.95,120.7,2,2019-12-16 15:13:41
29.3,119.0,1,2019-12-16 15:13:41
30.2,121.1,2,2019-12-16 15:13:41
31.55,119.4,1,2019-12-16 15:13:41
30.1,120.1,4,2019-12-16 15:13:41
31.25,120.5,77,2019-12-16 15:13:41
31.05,120.4,5,2019-12-16 15:13:41
30.1,120.05,4,2019-12-16 15:13:41
30.9,120.3,2,2019-12-16 15:13:41
29.9,121.95,2,2019-12-16 15:13:41
29.85,118.5,1,2019-12-16 15:13:41
29.05,120.4,3,2019-12-16 15:13:41
28.85,120.0,19,2019-12-16 15:13:41
30.15,119.1,2,2019-12-16 15:13:41
27.95,121.05,2,2019-12-16 15:13:41
31.5,119.9,2,2019-12-16 15:13:41
30.05,121.05,5,2019-12-16 15:13:41
31.7,119.6,17,2019-12-16 15:13:41
28.1,117.65,3,2019-12-16 15:13:41
31.35,119.75,18,2019-12-16 15:13:41
30.85,120.85,2,2019-12-16 15:13:41
30.35,119.7,1,2019-12-16 15:13:41
31.35,119.8,28,2019-12-16 15:13:41
30.85,120.9,37,2019-12-16 15:13:41
30.2,119.9,7,2019-12-16 15:13:41
28.35,121.1,2,2019-12-16 15:13:41
31.6,120.7,9,2019-12-16 15:13:41
28.35,121.45,2,2019-12-16 15:13:41
28.4,118.05,3,2019-12-16 15:13:41
29.9,118.65,2,2019-12-16 15:13:41
27.2,120.4,1,2019-12-16 15:13:41
31.0,117.05,2,2019-12-16 15:13:41
30.9,120.2,2,2019-12-16 15:13:41
31.4,119.45,19,2019-12-16 15:13:41
31.75,119.85,44,2019-12-16 15:13:41
26.95,119.0,2,2019-12-16 15:13:41
28.45,119.9,74,2019-12-16 15:13:41
30.95,121.4,6,2019-12-16 15:13:41
27.8,117.35,2,2019-12-16 15:13:41
31.75,118.25,4,2019-12-16 15:13:41
30.8,119.5,2,2019-12-16 15:13:41
30.85,117.6,9,2019-12-16 15:13:41
31.65,120.6,1,2019-12-16 15:13:41
28.9,121.65,5,2019-12-16 15:13:41
31.75,117.65,3,2019-12-16 15:13:41
30.3,120.2,52,2019-12-16 15:13:41
30.6,117.85,2,2019-12-16 15:13:41
31.4,120.95,13,2019-12-16 15:13:41
26.1,119.25,4,2019-12-16 15:13:41
26.15,119.35,2,2019-12-16 15:13:41
26.1,119.3,76,2019-12-16 15:13:41
29.85,121.3,2,2019-12-16 15:13:41
31.6,120.35,28,2019-12-16 15:13:41
29.65,121.65,14,2019-12-16 15:13:41
31.65,119.9,10,2019-12-16 15:13:41
30.65,119.7,2,2019-12-16 15:13:41
27.9,120.65,11,2019-12-16 15:13:41
31.8,119.65,2,2019-12-16 15:13:41
30.65,121.2,3,2019-12-16 15:13:41
31.8,119.7,2,2019-12-16 15:13:41
30.15,120.1,8,2019-12-16 15:13:41
30.7,121.0,3,2019-12-16 15:13:41
28.9,118.15,2,2019-12-16 15:13:41
29.3,120.1,58,2019-12-16 15:13:41
29.0,121.6,10,2019-12-16 15:13:41
26.3,119.7,3,2019-12-16 15:13:41
30.2,120.35,6,2019-12-16 15:13:41
27.8,120.75,39,2019-12-16 15:13:41
26.05,117.3,3,2019-12-16 15:13:41
29.85,121.4,10,2019-12-16 15:13:41
28.8,117.6,1,2019-12-16 15:13:41
26.15,119.55,3,2019-12-16 15:13:41
29.25,120.2,45,2019-12-16 15:13:41
31.65,120.05,1,2019-12-16 15:13:41
31.15,117.95,2,2019-12-16 15:13:41
29.1,120.35,2,2019-12-16 15:13:41
28.55,120.1,1,2019-12-16 15:13:41
28.9,121.45,1,2019-12-16 15:13:41
31.25,119.05,2,2019-12-16 15:13:41
28.4,117.95,210,2019-12-16 15:13:41
31.95,118.95,4,2019-12-16 15:13:41
30.6,120.1,3,2019-12-16 15:13:41
30.9,121.15,2,2019-12-16 15:13:41
31.85,117.25,67,2019-12-16 15:13:41
28.75,121.2,1,2019-12-16 15:13:41
30.5,120.9,11,2019-12-16 15:13:41
28.75,121.15,1,2019-12-16 15:13:41
26.95,119.5,2,2019-12-16 15:13:41
30.5,120.85,4,2019-12-16 15:13:41
28.95,119.0,1,2019-12-16 15:13:41
30.6,119.05,2,2019-12-16 15:13:41
31.2,121.05,4,2019-12-16 15:13:41
31.35,118.5,1,2019-12-16 15:13:41
31.45,117.85,2,2019-12-16 15:13:41
31.2,121.1,2,2019-12-16 15:13:41
30.1,121.45,17,2019-12-16 15:13:41
28.2,117.15,1,2019-12-16 15:13:41
31.8,121.5,5,2019-12-16 15:13:41
28.25,121.35,2,2019-12-16 15:13:41
31.1,121.05,2,2019-12-16 15:13:41
27.9,120.35,2,2019-12-16 15:13:41
31.55,121.15,2,2019-12-16 15:13:41
30.3,119.95,3,2019-12-16 15:13:41
30.9,117.25,4,2019-12-16 15:13:41
31.0,121.2,40,2019-12-16 15:13:41
31.15,120.65,25,2019-12-16 15:13:41
31.95,119.85,2,2019-12-16 15:13:41
27.95,120.5,2,2019-12-16 15:13:41
28.25,121.6,3,2019-12-16 15:13:41
28.2,117.95,2,2019-12-16 15:13:41
28.55,119.25,42,2019-12-16 15:13:41
28.3,121.6,4,2019-12-16 15:13:41
28.75,118.6,2,2019-12-16 15:13:41
28.85,117.15,2,2019-12-16 15:13:41
29.95,118.35,2,2019-12-16 15:13:41
30.55,120.95,12,2019-12-16 15:13:41
31.3,121.45,99,2019-12-16 15:13:41
31.3,121.5,14,2019-12-16 15:13:41
31.4,120.9,18,2019-12-16 15:13:41
30.65,119.65,9,2019-12-16 15:13:41
27.85,120.8,4,2019-12-16 15:13:41
30.8,120.95,1,2019-12-16 15:13:41
31.35,119.35,2,2019-12-16 15:13:41
30.9,121.75,3,2019-12-16 15:13:41
28.95,120.15,11,2019-12-16 15:13:41
30.9,121.8,18,2019-12-16 15:13:41
31.85,120.6,19,2019-12-16 15:13:41
28.85,120.95,17,2019-12-16 15:13:41
28.9,121.0,3,2019-12-16 15:13:41
28.95,117.15,1,2019-12-16 15:13:41
31.35,121.25,4,2019-12-16 15:13:41
31.5,119.95,2,2019-12-16 15:13:41
31.35,121.3,35,2019-12-16 15:13:41
27.45,120.5,11,2019-12-16 15:13:41
30.4,120.25,48,2019-12-16 15:13:41
31.5,120.3,37,2019-12-16 15:13:41
31.5,120.25,27,2019-12-16 15:13:41
28.35,118.05,3,2019-12-16 15:13:41
30.4,117.05,2,2019-12-16 15:13:41
29.95,121.65,1,2019-12-16 15:13:41
28.45,121.1,2,2019-12-16 15:13:41
30.95,117.45,4,2019-12-16 15:13:41
31.5,121.05,6,2019-12-16 15:13:41
31.5,121.1,3,2019-12-16 15:13:41
28.8,121.1,2,2019-12-16 15:13:41
30.7,117.7,1,2019-12-16 15:13:41
30.7,120.15,10,2019-12-16 15:13:41
30.75,120.7,3,2019-12-16 15:13:41
31.7,119.4,2,2019-12-16 15:13:41
31.35,121.4,51,2019-12-16 15:13:41
29.0,120.1,7,2019-12-16 15:13:41
31.6,120.25,43,2019-12-16 15:13:41
31.9,118.95,3,2019-12-16 15:13:41
26.95,119.65,4,2019-12-16 15:13:41
29.3,117.25,1,2019-12-16 15:13:41
29.45,121.95,1,2019-12-16 15:13:41
29.3,117.3,14,2019-12-16 15:13:41
30.1,120.6,21,2019-12-16 15:13:41
29.1,118.9,1,2019-12-16 15:13:41
31.55,118.7,2,2019-12-16 15:13:41
31.3,117.05,2,2019-12-16 15:13:41
